candidate_index	condition_order_code	valid	candidate_spectrum_valid	candidate_spectrum_maximum_absolute_error_nm	candidate_spectrum_summed_absolute_error_nm	peak1_wavelength_nm	peak2_wavelength_nm	peak1_signed_error_nm	peak2_signed_error_nm	maximum_absolute_error_nm	summed_absolute_error_nm	mean_absolute_error_nm	peak1_transmittance	peak2_transmittance	worst_valley_transmittance	peak1_fwhm_nm	peak2_fwhm_nm	widest_fwhm_nm	peak1_prominence	peak2_prominence	minimum_prominence	valley_transmittance_imbalance	peak1_fwhm_to_ideal_ratio	peak2_fwhm_to_ideal_ratio	shape_gate_passed	shape_minimax_score	inside_position_window	selected
0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	3.5290853825e+00	6.9847572875e+00	4.4563149574e+02	5.6944578089e+02	-4.3685042649e+00	-5.5542191109e+00	5.5542191109e+00	9.9227233759e+00	4.9613616879e+00	1.4525546134e-01	6.1718888581e-02	1.4525546134e-01	2.7118543253e+01	2.7643312568e+01	2.7643312568e+01	7.8680060804e-01	8.3184003085e-01	7.8680060804e-01	8.3536572754e-02	9.9176516273e-01	9.5408109879e-01	1.0000000000e+00	8.3536572754e-01	1.0000000000e+00	0.0000000000e+00
1.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	4.2950907873e+00	8.2438856111e+00	4.4563149574e+02	5.6944578089e+02	-4.3685042649e+00	-5.5542191109e+00	5.5542191109e+00	9.9227233759e+00	4.9613616879e+00	2.1716244519e-01	1.9680851698e-01	2.1716244519e-01	1.8304122870e+01	2.0411793798e+01	2.0411793798e+01	7.2890041769e-01	7.0989775658e-01	7.0989775658e-01	2.0353928208e-02	6.6940879631e-01	7.0449250998e-01	1.0000000000e+00	1.0858122259e+00	1.0000000000e+00	0.0000000000e+00
2.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	5.1345096697e+00	9.9227233759e+00	4.4563149574e+02	5.6944578089e+02	-4.3685042649e+00	-5.5542191109e+00	5.5542191109e+00	9.9227233759e+00	4.9613616879e+00	3.7584057450e-01	2.0750662684e-01	3.7584057450e-01	2.7305485081e+01	2.1865638197e+01	2.7305485081e+01	5.6868931651e-01	6.9990769029e-01	5.6868931651e-01	1.6833394766e-01	9.9860190138e-01	7.5467048553e-01	0.0000000000e+00	1.8792028725e+00	1.0000000000e+00	0.0000000000e+00
3.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	3.4556719049e+00	6.5650478463e+00	4.4563149574e+02	5.7280345642e+02	-4.3685042649e+00	-2.1965435813e+00	4.3685042649e+00	6.5650478463e+00	3.2825239231e+00	3.1233428046e-02	2.8822774068e-02	3.1233428046e-02	3.2365235912e+01	4.1770230777e+01	4.1770230777e+01	8.6642247625e-01	8.3423787914e-01	8.3423787914e-01	2.4106539786e-03	1.1836444592e+00	1.4416574562e+00	1.0000000000e+00	1.2618784463e+00	1.0000000000e+00	0.0000000000e+00
4.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	5.1345096697e+00	9.9227233759e+00	4.4563149574e+02	5.7112461865e+02	-4.3685042649e+00	-3.8753813461e+00	4.3685042649e+00	8.2438856111e+00	4.1219428055e+00	3.5034245253e-01	3.5085549951e-01	3.5085549951e-01	2.0255533782e+01	2.5030119033e+01	2.5030119033e+01	5.9548145533e-01	5.4624268413e-01	5.4624268413e-01	5.1304697990e-04	7.4077477430e-01	8.6388935522e-01	0.0000000000e+00	1.7542774975e+00	1.0000000000e+00	0.0000000000e+00
5.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	3.5290853825e+00	6.9847572875e+00	4.4563149574e+02	5.7028519977e+02	-4.3685042649e+00	-4.7148002285e+00	4.7148002285e+00	9.0833044935e+00	4.5416522467e+00	5.1382679492e-02	3.8624092937e-02	5.1382679492e-02	2.6738817347e+01	3.1813939179e+01	3.1813939179e+01	8.7683246657e-01	8.4465660155e-01	8.4465660155e-01	1.2758586556e-02	9.7787802575e-01	1.0980260768e+00	1.0000000000e+00	5.9195654078e-01	1.0000000000e+00	0.0000000000e+00
6.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	4.7882137061e+00	8.6635950523e+00	4.4563149574e+02	5.7112461865e+02	-4.3685042649e+00	-3.8753813461e+00	4.3685042649e+00	8.2438856111e+00	4.1219428055e+00	3.2381051779e-01	2.0479075611e-01	3.2381051779e-01	2.9182518729e+01	2.8498585799e+01	2.9182518729e+01	6.1224567890e-01	6.8883146346e-01	6.1224567890e-01	1.1901976168e-01	1.0672477930e+00	9.8359999318e-01	0.0000000000e+00	1.6190525889e+00	1.0000000000e+00	0.0000000000e+00
7.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	5.1345096697e+00	9.9227233759e+00	4.4563149574e+02	5.7028519977e+02	-4.3685042649e+00	-4.7148002285e+00	4.7148002285e+00	9.0833044935e+00	4.5416522467e+00	4.3027874827e-01	3.5426521301e-01	4.3027874827e-01	2.6289879020e+01	2.3849813894e+01	2.6289879020e+01	5.1725485921e-01	5.4861044884e-01	5.1725485921e-01	7.6013535261e-02	9.6145968837e-01	8.2315231181e-01	0.0000000000e+00	2.1513937414e+00	1.0000000000e+00	0.0000000000e+00
8.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	5.5542191109e+00	9.5030139347e+00	4.4395265797e+02	5.6818665257e+02	-6.0473420297e+00	-6.8133474345e+00	6.8133474345e+00	1.2860689464e+01	6.4303447321e+00	4.4296327233e-01	4.6696895361e-01	4.6696895361e-01	1.6278887315e+01	1.5765278166e+01	1.6278887315e+01	5.0953170657e-01	4.5508581400e-01	4.5508581400e-01	2.4005681276e-02	5.9534294218e-01	5.4412270159e-01	0.0000000000e+00	2.3348447680e+00	1.0000000000e+00	0.0000000000e+00
9.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	4.2950907873e+00	7.4044667287e+00	4.4731033350e+02	5.7364287530e+02	-2.6896665001e+00	-1.3571246989e+00	2.6896665001e+00	4.0467911991e+00	2.0233955995e+00	1.4700579457e-02	6.9261179306e-03	1.4700579457e-02	4.0243390762e+01	5.3137309596e+01	5.3137309596e+01	8.3992655296e-01	8.5552555462e-01	8.3992655296e-01	7.7744615264e-03	1.4717602128e+00	1.8339807359e+00	0.0000000000e+00	2.3828021027e+00	1.0000000000e+00	0.0000000000e+00
1.0000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	3.5290853825e+00	6.9847572875e+00	4.4563149574e+02	5.6944578089e+02	-4.3685042649e+00	-5.5542191109e+00	5.5542191109e+00	9.9227233759e+00	4.9613616879e+00	1.2063863128e-01	6.4238227904e-02	1.2063863128e-01	2.3729409941e+01	2.7285160716e+01	2.7285160716e+01	8.1353161484e-01	8.2821019739e-01	8.1353161484e-01	5.6400403380e-02	8.6781955404e-01	9.4171984828e-01	1.0000000000e+00	6.1460426476e-01	1.0000000000e+00	0.0000000000e+00
1.1000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	4.2950907873e+00	8.2438856111e+00	4.4563149574e+02	5.6944578089e+02	-4.3685042649e+00	-5.5542191109e+00	5.5542191109e+00	9.9227233759e+00	4.9613616879e+00	2.2925582528e-01	1.9740819931e-01	2.2925582528e-01	1.8483287986e+01	2.0417438891e+01	2.0417438891e+01	7.1755805612e-01	7.1020817757e-01	7.1020817757e-01	3.1847625971e-02	6.7596112914e-01	7.0468734468e-01	1.0000000000e+00	1.1462791264e+00	1.0000000000e+00	0.0000000000e+00
1.2000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	3.4556719049e+00	6.5650478463e+00	4.4563149574e+02	5.7112461865e+02	-4.3685042649e+00	-3.8753813461e+00	4.3685042649e+00	8.2438856111e+00	4.1219428055e+00	3.1713526696e-02	2.1431963891e-02	3.1713526696e-02	3.1575638100e+01	3.8224776287e+01	3.8224776287e+01	8.8120188192e-01	8.4934743121e-01	8.4934743121e-01	1.0281562805e-02	1.1547677015e+00	1.3192896644e+00	1.0000000000e+00	9.1225618408e-01	1.0000000000e+00	0.0000000000e+00
1.3000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	4.2950907873e+00	7.8241761699e+00	4.4563149574e+02	5.6944578089e+02	-4.3685042649e+00	-5.5542191109e+00	5.5542191109e+00	9.9227233759e+00	4.9613616879e+00	1.8707203865e-01	7.6783768833e-02	1.8707203865e-01	2.7227287793e+01	2.5867827996e+01	2.7227287793e+01	7.4794644117e-01	8.2124710828e-01	7.4794644117e-01	1.1028826982e-01	9.9574211111e-01	8.9280203658e-01	0.0000000000e+00	1.1028826982e+00	1.0000000000e+00	0.0000000000e+00
1.4000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	4.7882137061e+00	8.6635950523e+00	4.5822277897e+02	5.7112461865e+02	8.2227789711e+00	-3.8753813461e+00	8.2227789711e+00	1.2098160317e+01	6.0490801586e+00	3.0743357539e-01	1.9958907366e-01	3.0743357539e-01	2.7543434418e+01	2.7621644379e+01	2.7621644379e+01	6.2976118922e-01	6.9933879375e-01	6.2976118922e-01	1.0784450173e-01	1.0073040599e+00	9.5333324307e-01	0.0000000000e+00	1.5371678770e+00	0.0000000000e+00	0.0000000000e+00
1.5000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	4.2950907873e+00	7.4044667287e+00	4.4731033350e+02	5.7574142251e+02	-2.6896665001e+00	7.4142250707e-01	2.6896665001e+00	3.4310890072e+00	1.7155445036e+00	2.4127390236e-02	1.2395174243e-02	2.4127390236e-02	3.9169603303e+01	5.2261629448e+01	5.2261629448e+01	8.4524956718e-01	8.4997823741e-01	8.4524956718e-01	1.1732215993e-02	1.4324902201e+00	1.8037575174e+00	0.0000000000e+00	2.2964500496e+00	1.0000000000e+00	0.0000000000e+00
1.6000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	7.2330568757e+00	1.1601561141e+01	4.4563149574e+02	5.7028519977e+02	-4.3685042649e+00	-4.7148002285e+00	4.7148002285e+00	9.0833044935e+00	4.5416522467e+00	4.1585174203e-01	3.8062685728e-01	4.1585174203e-01	2.1274247612e+01	2.2501570159e+01	2.2501570159e+01	5.3252068162e-01	5.2519786358e-01	5.2519786358e-01	3.5224884748e-02	7.7803064302e-01	7.7661903685e-01	0.0000000000e+00	2.0792587101e+00	1.0000000000e+00	0.0000000000e+00
1.7000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	3.5290853825e+00	6.9847572875e+00	4.4563149574e+02	5.7028519977e+02	-4.3685042649e+00	-4.7148002285e+00	4.7148002285e+00	9.0833044935e+00	4.5416522467e+00	6.4559802413e-02	4.2763844132e-02	6.4559802413e-02	2.5989901355e+01	3.0972661214e+01	3.0972661214e+01	8.6372305453e-01	8.4481011331e-01	8.4481011331e-01	2.1795958281e-02	9.5048906229e-01	1.0689902150e+00	1.0000000000e+00	5.9184897543e-01	1.0000000000e+00	0.0000000000e+00
1.8000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	6.4670514709e+00	1.2021270582e+01	4.4395265797e+02	5.6902607145e+02	-6.0473420297e+00	-5.9739285521e+00	6.0473420297e+00	1.2021270582e+01	6.0106352909e+00	5.0710731745e-01	6.0312610865e-01	6.0312610865e-01	1.7047060522e+01	1.5249238801e+01	1.7047060522e+01	4.4587004185e-01	3.2213687897e-01	3.2213687897e-01	9.6018791199e-02	6.2343617043e-01	5.2631212253e-01	0.0000000000e+00	3.0156305432e+00	1.0000000000e+00	0.0000000000e+00
1.9000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	5.1345096697e+00	9.9227233759e+00	4.4563149574e+02	5.7028519977e+02	-4.3685042649e+00	-4.7148002285e+00	4.7148002285e+00	9.0833044935e+00	4.5416522467e+00	3.0486702919e-01	2.7740606666e-01	3.0486702919e-01	2.0753288794e+01	2.4790098613e+01	2.4790098613e+01	6.3898408413e-01	6.1984273791e-01	6.1984273791e-01	2.7460962534e-02	7.5897840995e-01	8.5560529208e-01	1.0000000000e+00	1.5243351460e+00	1.0000000000e+00	0.0000000000e+00
2.0000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	4.2950907873e+00	7.4044667287e+00	4.4731033350e+02	5.7364287530e+02	-2.6896665001e+00	-1.3571246989e+00	2.6896665001e+00	4.0467911991e+00	2.0233955995e+00	1.5177391469e-02	6.9408398122e-03	1.5177391469e-02	4.0234060661e+01	5.2074035206e+01	5.2074035206e+01	8.4674409777e-01	8.5554200597e-01	8.4674409777e-01	8.2365516573e-03	1.4714189972e+00	1.7972828910e+00	0.0000000000e+00	2.2779511171e+00	1.0000000000e+00	0.0000000000e+00
2.1000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	3.5290853825e+00	6.9847572875e+00	4.4563149574e+02	5.6860636201e+02	-4.3685042649e+00	-6.3936379933e+00	6.3936379933e+00	1.0762142258e+01	5.3810711291e+00	3.5955015570e-02	2.5622079149e-02	3.5955015570e-02	3.0258539825e+01	3.6578959432e+01	3.6578959432e+01	8.8087361678e-01	8.4974144958e-01	8.4974144958e-01	1.0332936421e-02	1.1065994731e+00	1.2624859529e+00	1.0000000000e+00	7.4995986534e-01	1.0000000000e+00	0.0000000000e+00
2.2000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	5.5542191109e+00	9.5030139347e+00	4.4395265797e+02	5.6818665257e+02	-6.0473420297e+00	-6.8133474345e+00	6.8133474345e+00	1.2860689464e+01	6.4303447321e+00	4.1537627578e-01	4.0919184685e-01	4.1537627578e-01	1.7355825224e+01	1.6543853497e+01	1.7355825224e+01	5.3630390763e-01	5.1114964485e-01	5.1114964485e-01	6.1844289303e-03	6.3472815141e-01	5.7099444520e-01	0.0000000000e+00	2.0768813789e+00	1.0000000000e+00	0.0000000000e+00
2.3000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	3.4556719049e+00	6.5650478463e+00	4.4563149574e+02	5.7490200362e+02	-4.3685042649e+00	-9.7996375333e-02	4.3685042649e+00	4.4665006403e+00	2.2332503201e+00	2.9907660559e-02	3.0137902126e-02	3.0137902126e-02	3.3516555395e+01	4.4279575834e+01	4.4279575834e+01	8.6314688437e-01	8.2940565981e-01	8.2940565981e-01	2.3024156690e-04	1.2257499124e+00	1.5282649741e+00	0.0000000000e+00	1.5093284975e+00	1.0000000000e+00	0.0000000000e+00
2.4000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	3.4556719049e+00	6.5650478463e+00	4.4563149574e+02	5.7112461865e+02	-4.3685042649e+00	-3.8753813461e+00	4.3685042649e+00	8.2438856111e+00	4.1219428055e+00	1.3669010997e-01	5.9868067503e-02	1.3669010997e-01	3.1313396029e+01	3.2057314815e+01	3.2057314815e+01	7.8422781825e-01	8.2663181424e-01	7.8422781825e-01	7.6822042465e-02	1.1451771218e+00	1.1064259419e+00	1.0000000000e+00	7.6822042465e-01	1.0000000000e+00	0.0000000000e+00
2.5000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	3.1093759413e+00	4.8862100815e+00	4.4605120518e+02	5.7322316586e+02	-3.9487948237e+00	-1.7768341401e+00	3.9487948237e+00	5.7256289639e+00	2.8628144819e+00	2.1421266720e-02	1.0673733428e-02	2.1421266720e-02	3.6946687365e+01	4.6079339677e+01	4.6079339677e+01	8.6449597962e-01	8.5503598861e-01	8.5503598861e-01	1.0747533292e-02	1.3511949025e+00	1.5903820109e+00	0.0000000000e+00	1.6868057456e+00	1.0000000000e+00	0.0000000000e+00
2.6000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	3.5290853825e+00	6.9847572875e+00	4.4563149574e+02	5.7112461865e+02	-4.3685042649e+00	-3.8753813461e+00	4.3685042649e+00	8.2438856111e+00	4.1219428055e+00	1.9498784840e-01	7.2815127671e-02	1.9498784840e-01	3.1348216315e+01	3.1330276252e+01	3.1348216315e+01	7.2847937047e-01	8.1540703028e-01	7.2847937047e-01	1.2217272073e-01	1.1464505510e+00	1.0813329379e+00	0.0000000000e+00	1.2217272073e+00	1.0000000000e+00	0.0000000000e+00
2.7000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	4.2950907873e+00	8.2438856111e+00	4.4563149574e+02	5.6944578089e+02	-4.3685042649e+00	-5.5542191109e+00	5.5542191109e+00	9.9227233759e+00	4.9613616879e+00	2.3288619518e-01	1.8728131056e-01	2.3288619518e-01	1.9019303931e+01	2.0938916582e+01	2.0938916582e+01	7.1361517906e-01	7.2096318007e-01	7.1361517906e-01	4.5604884624e-02	6.9556402356e-01	7.2268562213e-01	1.0000000000e+00	1.1644309759e+00	1.0000000000e+00	0.0000000000e+00
2.8000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	3.5290853825e+00	6.9847572875e+00	4.4563149574e+02	5.7112461865e+02	-4.3685042649e+00	-3.8753813461e+00	4.3685042649e+00	8.2438856111e+00	4.1219428055e+00	1.5247979760e-01	6.5161377192e-02	1.5247979760e-01	3.1151964798e+01	3.1988003205e+01	3.1988003205e+01	7.6922419667e-01	8.2171764970e-01	7.6922419667e-01	8.7318420410e-02	1.1392733433e+00	1.1040337214e+00	1.0000000000e+00	8.7318420410e-01	1.0000000000e+00	0.0000000000e+00
2.9000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	4.2950907873e+00	8.2438856111e+00	4.4563149574e+02	5.6944578089e+02	-4.3685042649e+00	-5.5542191109e+00	5.5542191109e+00	9.9227233759e+00	4.9613616879e+00	1.0993652791e-01	7.2320841253e-02	1.0993652791e-01	2.2019227824e+01	2.6003402313e+01	2.6003402313e+01	8.2793439180e-01	8.2107118517e-01	8.2107118517e-01	3.7615686655e-02	8.0527566921e-01	8.9748124760e-01	1.0000000000e+00	6.0896059809e-01	1.0000000000e+00	0.0000000000e+00
3.0000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	4.2950907873e+00	8.2438856111e+00	4.4563149574e+02	5.6944578089e+02	-4.3685042649e+00	-5.5542191109e+00	5.5542191109e+00	9.9227233759e+00	4.9613616879e+00	3.1408214569e-01	1.8249985576e-01	3.1408214569e-01	2.4674678731e+01	2.1256502012e+01	2.4674678731e+01	6.3049030304e-01	7.2837248445e-01	6.3049030304e-01	1.3158228993e-01	9.0238942921e-01	7.3364676345e-01	0.0000000000e+00	1.5704107285e+00	1.0000000000e+00	0.0000000000e+00
3.1000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	6.4670514709e+00	1.0762142258e+01	4.4563149574e+02	5.7028519977e+02	-4.3685042649e+00	-4.7148002285e+00	4.7148002285e+00	9.0833044935e+00	4.5416522467e+00	2.7623450756e-01	3.3636611700e-01	3.3636611700e-01	1.6408869714e+01	1.9506869664e+01	1.9506869664e+01	6.6915726662e-01	5.6753849983e-01	5.6753849983e-01	6.0131609440e-02	6.0009659039e-01	6.7325996470e-01	1.0000000000e+00	1.6818305850e+00	1.0000000000e+00	0.0000000000e+00
3.2000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	5.5542191109e+00	9.5030139347e+00	4.4563149574e+02	5.6944578089e+02	-4.3685042649e+00	-5.5542191109e+00	5.5542191109e+00	9.9227233759e+00	4.9613616879e+00	3.5824260116e-01	3.1264686584e-01	3.5824260116e-01	1.7844903837e+01	1.7894998271e+01	1.7894998271e+01	5.9298500419e-01	6.0266900063e-01	5.9298500419e-01	4.5595735312e-02	6.5261447833e-01	6.1762784659e-01	0.0000000000e+00	1.7912130058e+00	1.0000000000e+00	0.0000000000e+00
3.3000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	3.5290853825e+00	6.9847572875e+00	4.4563149574e+02	5.6944578089e+02	-4.3685042649e+00	-5.5542191109e+00	5.5542191109e+00	9.9227233759e+00	4.9613616879e+00	2.2245207429e-01	6.3103839755e-02	2.2245207429e-01	3.0494465406e+01	2.7667366626e+01	3.0494465406e+01	7.0770820975e-01	8.3456005156e-01	7.0770820975e-01	1.5934823453e-01	1.1152276199e+00	9.5491130041e-01	0.0000000000e+00	1.5934823453e+00	1.0000000000e+00	0.0000000000e+00
3.4000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	5.1345096697e+00	9.9227233759e+00	4.5822277897e+02	5.7112461865e+02	8.2227789711e+00	-3.8753813461e+00	8.2227789711e+00	1.2098160317e+01	6.0490801586e+00	3.0284127593e-01	2.1733225882e-01	3.0284127593e-01	2.6206512031e+01	2.7013528391e+01	2.7013528391e+01	6.3622018695e-01	6.8333505094e-01	6.3622018695e-01	8.5509017110e-02	9.5841083449e-01	9.3234473208e-01	1.0000000000e+00	1.5142063797e+00	0.0000000000e+00	0.0000000000e+00
3.5000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	3.4556719049e+00	6.5650478463e+00	4.5822277897e+02	5.7112461865e+02	8.2227789711e+00	-3.8753813461e+00	8.2227789711e+00	1.2098160317e+01	6.0490801586e+00	1.7304430902e-01	4.8460796475e-02	1.7304430902e-01	3.3682353866e+01	3.4060446396e+01	3.4060446396e+01	7.3860533535e-01	8.4377609193e-01	7.3860533535e-01	1.2458351254e-01	1.2318134072e+00	1.1755620114e+00	0.0000000000e+00	1.2458351254e+00	0.0000000000e+00	0.0000000000e+00
3.6000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	5.5542191109e+00	9.5030139347e+00	4.4395265797e+02	5.6818665257e+02	-6.0473420297e+00	-6.8133474345e+00	6.8133474345e+00	1.2860689464e+01	6.4303447321e+00	4.7227227688e-01	5.0204181671e-01	5.0204181671e-01	1.6275920711e+01	1.5346770469e+01	1.6275920711e+01	4.8101353645e-01	4.2200011015e-01	4.2200011015e-01	2.9769539833e-02	5.9523444909e-01	5.2967832985e-01	0.0000000000e+00	2.5102090836e+00	1.0000000000e+00	0.0000000000e+00
3.7000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	3.4556719049e+00	6.5650478463e+00	4.4563149574e+02	5.7280345642e+02	-4.3685042649e+00	-2.1965435813e+00	4.3685042649e+00	6.5650478463e+00	3.2825239231e+00	5.5104818195e-02	3.4751031548e-02	5.5104818195e-02	3.3324883422e+01	3.8812973004e+01	3.8812973004e+01	8.4552601352e-01	8.3743115887e-01	8.3743115887e-01	2.0353786647e-02	1.2187401854e+00	1.3395906818e+00	1.0000000000e+00	9.7025909098e-01	1.0000000000e+00	0.0000000000e+00
3.8000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	5.5542191109e+00	9.5030139347e+00	4.4395265797e+02	5.6818665257e+02	-6.0473420297e+00	-6.8133474345e+00	6.8133474345e+00	1.2860689464e+01	6.4303447321e+00	4.4220286608e-01	4.7903621197e-01	4.7903621197e-01	1.5351999616e+01	1.5606741566e+01	1.5606741566e+01	5.1000517607e-01	4.4275218248e-01	4.4275218248e-01	3.6833345890e-02	5.6144529063e-01	5.3865097050e-01	0.0000000000e+00	2.3951810598e+00	1.0000000000e+00	0.0000000000e+00
3.9000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	7.2330568757e+00	1.2021270582e+01	4.4563149574e+02	5.7028519977e+02	-4.3685042649e+00	-4.7148002285e+00	4.7148002285e+00	9.0833044935e+00	4.5416522467e+00	4.1134184599e-01	3.8184356689e-01	4.1134184599e-01	1.9967301393e+01	2.2263177663e+01	2.2263177663e+01	5.3704375029e-01	5.2434635162e-01	5.2434635162e-01	2.9498279095e-02	7.3023369032e-01	7.6839115992e-01	0.0000000000e+00	2.0567092299e+00	1.0000000000e+00	0.0000000000e+00
4.0000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	3.1093759413e+00	4.8862100815e+00	4.4563149574e+02	5.7490200362e+02	-4.3685042649e+00	-9.7996375333e-02	4.3685042649e+00	4.4665006403e+00	2.2332503201e+00	2.5344235823e-02	2.1723655984e-02	2.5344235823e-02	3.4157817624e+01	4.5245355214e+01	4.5245355214e+01	8.6425258406e-01	8.3743491955e-01	8.3743491955e-01	3.6205798388e-03	1.2492018188e+00	1.5615978770e+00	0.0000000000e+00	1.6045653628e+00	1.0000000000e+00	0.0000000000e+00
4.1000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	4.2950907873e+00	7.4044667287e+00	4.4731033350e+02	5.7364287530e+02	-2.6896665001e+00	-1.3571246989e+00	2.6896665001e+00	4.0467911991e+00	2.0233955995e+00	1.6162946820e-02	7.0680608042e-03	1.6162946820e-02	3.9840959780e+01	5.1305847960e+01	5.1305847960e+01	8.4712670743e-01	8.5509917838e-01	8.4712670743e-01	9.0948860161e-03	1.4570427177e+00	1.7707696817e+00	0.0000000000e+00	2.2021990906e+00	1.0000000000e+00	0.0000000000e+00
4.2000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	3.4556719049e+00	6.5650478463e+00	4.4563149574e+02	5.7364287530e+02	-4.3685042649e+00	-1.3571246989e+00	4.3685042649e+00	5.7256289639e+00	2.8628144819e+00	3.6711163819e-02	3.2822821289e-02	3.6711163819e-02	3.3257299578e+01	4.2555865886e+01	4.2555865886e+01	8.5861759633e-01	8.3085408434e-01	8.3085408434e-01	3.8883425295e-03	1.2162685444e+00	1.4687728609e+00	1.0000000000e+00	1.3393510311e+00	1.0000000000e+00	1.0000000000e+00
4.3000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	4.2950907873e+00	8.2438856111e+00	4.4563149574e+02	5.6944578089e+02	-4.3685042649e+00	-5.5542191109e+00	5.5542191109e+00	9.9227233759e+00	4.9613616879e+00	1.4326168597e-01	1.2884306908e-01	1.4326168597e-01	1.9762906601e+01	2.2991995592e+01	2.2991995592e+01	7.9729805887e-01	7.7217870951e-01	7.7217870951e-01	1.4418616891e-02	7.2275867102e-01	7.9354557687e-01	1.0000000000e+00	7.9211808280e-01	1.0000000000e+00	0.0000000000e+00
4.4000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	5.1345096697e+00	9.9227233759e+00	4.5864248841e+02	5.7112461865e+02	8.6424884123e+00	-3.8753813461e+00	8.6424884123e+00	1.2517869758e+01	6.2589348792e+00	2.6287424564e-01	2.0588491857e-01	2.6287424564e-01	2.4159747323e+01	2.6351114293e+01	2.6351114293e+01	6.7651039362e-01	6.9727380574e-01	6.7651039362e-01	5.6989327073e-02	8.8355762742e-01	9.0948217648e-01	1.0000000000e+00	1.3143712282e+00	0.0000000000e+00	0.0000000000e+00
4.5000000000e+01	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	3.4556719049e+00	6.5650478463e+00	4.4563149574e+02	5.7280345642e+02	-4.3685042649e+00	-2.1965435813e+00	4.3685042649e+00	6.5650478463e+00	3.2825239231e+00	7.8656531870e-02	4.3975349516e-02	7.8656531870e-02	3.2463223001e+01	3.5370472061e+01	3.5370472061e+01	8.3081134409e-01	8.3358675614e-01	8.3081134409e-01	3.4681182355e-02	1.1872279917e+00	1.2207762281e+00	1.0000000000e+00	6.3078922316e-01	1.0000000000e+00	0.0000000000e+00
